target,loss,explainer,threshold,acc_test,n_molecule_scores,n_pairs
1DYR-TOP,MSE,gradinput,60,0.5713819935338923,79,40
1DYR-TOP,MSE,gradinput,65,0.5383675692499221,51,26
1DYR-TOP,MSE,gradinput,70,0.552358276643991,35,18
1DYR-TOP,MSE,gradinput,75,0.4794871794871795,13,7
1DYR-TOP,MSE,gradinput,80,0.4444444444444444,3,2
1DYR-TOP,MSE,gradinput,85,0.3333333333333333,1,1
1DYR-TOP,MSE,gradinput,90,,0,0
1DYR-TOP,MSE,gradinput,95,,0,0
1DYR-TOP,MSE,ig,50,0.5427634659883179,169,85
1DYR-TOP,MSE,ig,55,0.5429280923961775,141,71
1DYR-TOP,MSE,ig,60,0.532421867864906,79,40
1DYR-TOP,MSE,ig,65,0.5251711795829441,51,26
1DYR-TOP,MSE,ig,70,0.5149546485260771,35,18
1DYR-TOP,MSE,ig,75,0.48901098901098905,13,7
1DYR-TOP,MSE,ig,80,0.7999999999999999,3,2
1DYR-TOP,MSE,ig,85,1.0,1,1
1DYR-TOP,MSE,ig,90,,0,0
1DYR-TOP,MSE,ig,95,,0,0
1DYR-TOP,MSE,shap,50,0.5278516765942801,169,85
1DYR-TOP,MSE,shap,55,0.5221734136627751,141,71
1DYR-TOP,MSE,shap,60,0.5139076113759659,79,40
1DYR-TOP,MSE,shap,65,0.5201447245564893,51,26
1DYR-TOP,MSE,shap,70,0.5063151927437642,35,18
1DYR-TOP,MSE,shap,75,0.36556776556776555,13,7
1DYR-TOP,MSE,shap,80,0.35555555555555557,3,2
1DYR-TOP,MSE,shap,85,0.6666666666666666,1,1
1DYR-TOP,MSE,shap,90,,0,0
1DYR-TOP,MSE,shap,95,,0,0
1EZQ-RPR,MSE,cam,50,0.5,26,13
1EZQ-RPR,MSE,cam,55,0.5,26,13
1EZQ-RPR,MSE,cam,60,0.5,26,13
1EZQ-RPR,MSE,cam,65,0.5,26,13
1EZQ-RPR,MSE,cam,70,0.5,26,13
1EZQ-RPR,MSE,cam,75,0.5,26,13
1EZQ-RPR,MSE,cam,80,0.5,26,13
1EZQ-RPR,MSE,cam,85,0.5,24,12
1EZQ-RPR,MSE,cam,90,0.5,18,9
1EZQ-RPR,MSE,cam,95,0.5,2,1
1EZQ-RPR,MSE,diff,50,0.7,26,13
1EZQ-RPR,MSE,diff,55,0.7,26,13
1EZQ-RPR,MSE,diff,60,0.7,26,13
1EZQ-RPR,MSE,diff,65,0.7,26,13
1EZQ-RPR,MSE,diff,70,0.7,26,13
1EZQ-RPR,MSE,diff,75,0.7,26,13
1EZQ-RPR,MSE,diff,80,0.7,26,13
1EZQ-RPR,MSE,diff,85,0.7166666666666667,24,12
1EZQ-RPR,MSE,diff,90,0.7361111111111112,18,9
1EZQ-RPR,MSE,diff,95,0.75,2,1
1EZQ-RPR,MSE,gradcam,50,0.7107142857142856,26,13
1EZQ-RPR,MSE,gradcam,55,0.7107142857142856,26,13
1EZQ-RPR,MSE,gradcam,60,0.7107142857142856,26,13
1EZQ-RPR,MSE,gradcam,65,0.7107142857142856,26,13
1EZQ-RPR,MSE,gradcam,70,0.7107142857142856,26,13
1EZQ-RPR,MSE,gradcam,75,0.7107142857142856,26,13
1EZQ-RPR,MSE,gradcam,80,0.7107142857142856,26,13
1EZQ-RPR,MSE,gradcam,85,0.7173611111111112,24,12
