target,loss,explainer,normalization,mcs,global_dir_test,n_pairs
1CKP-PVB,MSE+AC,gradcam,l1,75,0.8048780487804879,82
1CKP-PVB,MSE+AC,gradcam,l1,80,0.8088235294117647,68
1CKP-PVB,MSE+AC,gradcam,l1,85,0.782608695652174,46
1CKP-PVB,MSE+AC,gradcam,l1,90,0.7222222222222222,18
1CKP-PVB,MSE+AC,gradcam,l1,95,0.0,2
1CKP-PVB,MSE+AC,gradcam,signed_rank,50,0.7289719626168224,214
1CKP-PVB,MSE+AC,gradcam,signed_rank,55,0.7323943661971831,213
1CKP-PVB,MSE+AC,gradcam,signed_rank,60,0.7336683417085427,199
1CKP-PVB,MSE+AC,gradcam,signed_rank,65,0.7103825136612022,183
1CKP-PVB,MSE+AC,gradcam,signed_rank,70,0.6888888888888889,135
1CKP-PVB,MSE+AC,gradcam,signed_rank,75,0.7439024390243902,82
1CKP-PVB,MSE+AC,gradcam,signed_rank,80,0.75,68
1CKP-PVB,MSE+AC,gradcam,signed_rank,85,0.7391304347826086,46
1CKP-PVB,MSE+AC,gradcam,signed_rank,90,0.6666666666666666,18
1CKP-PVB,MSE+AC,gradcam,signed_rank,95,0.0,2
1CKP-PVB,MSE+UCN,gradcam,raw,50,0.7663551401869159,214
1CKP-PVB,MSE+UCN,gradcam,raw,55,0.7699530516431925,213
1CKP-PVB,MSE+UCN,gradcam,raw,60,0.7638190954773869,199
1CKP-PVB,MSE+UCN,gradcam,raw,65,0.7759562841530054,183
1CKP-PVB,MSE+UCN,gradcam,raw,70,0.8,135
1CKP-PVB,MSE+UCN,gradcam,raw,75,0.8536585365853658,82
1CKP-PVB,MSE+UCN,gradcam,raw,80,0.8235294117647058,68
1CKP-PVB,MSE+UCN,gradcam,raw,85,0.782608695652174,46
1CKP-PVB,MSE+UCN,gradcam,raw,90,0.8333333333333334,18
1CKP-PVB,MSE+UCN,gradcam,raw,95,1.0,2
1CKP-PVB,MSE+UCN,gradcam,l1,50,0.7102803738317757,214
1CKP-PVB,MSE+UCN,gradcam,l1,55,0.7136150234741784,213
1CKP-PVB,MSE+UCN,gradcam,l1,60,0.7437185929648241,199
1CKP-PVB,MSE+UCN,gradcam,l1,65,0.7595628415300546,183
1CKP-PVB,MSE+UCN,gradcam,l1,70,0.8,135
1CKP-PVB,MSE+UCN,gradcam,l1,75,0.8658536585365854,82
1CKP-PVB,MSE+UCN,gradcam,l1,80,0.8382352941176471,68
1CKP-PVB,MSE+UCN,gradcam,l1,85,0.782608695652174,46
1CKP-PVB,MSE+UCN,gradcam,l1,90,0.8333333333333334,18
1CKP-PVB,MSE+UCN,gradcam,l1,95,1.0,2
1CKP-PVB,MSE+UCN,gradcam,signed_rank,50,0.6728971962616822,214
1CKP-PVB,MSE+UCN,gradcam,signed_rank,55,0.676056338028169,213
1CKP-PVB,MSE+UCN,gradcam,signed_rank,60,0.6934673366834171,199
1CKP-PVB,MSE+UCN,gradcam,signed_rank,65,0.7158469945355191,183
1CKP-PVB,MSE+UCN,gradcam,signed_rank,70,0.7333333333333333,135
1CKP-PVB,MSE+UCN,gradcam,signed_rank,75,0.8048780487804879,82
1CKP-PVB,MSE+UCN,gradcam,signed_rank,80,0.8235294117647058,68
1CKP-PVB,MSE+UCN,gradcam,signed_rank,85,0.7608695652173914,46
1CKP-PVB,MSE+UCN,gradcam,signed_rank,90,0.7777777777777778,18
1CKP-PVB,MSE+UCN,gradcam,signed_rank,95,1.0,2
1CKP-PVB,MSE,gradinput,raw,50,0.46261682242990654,214
1CKP-PVB,MSE,gradinput,raw,55,0.4647887323943662,213
1CKP-PVB,MSE,gradinput,raw,60,0.47738693467336685,199
1CKP-PVB,MSE,gradinput,raw,65,0.4808743169398907,183
1CKP-PVB,MSE,gradinput,raw,70,0.4962962962962963,135
1CKP-PVB,MSE,gradinput,raw,75,0.5121951219512195,82
1CKP-PVB,MSE,gradinput,raw,80,0.47058823529411764,68
1CKP-PVB,MSE,gradinput,raw,85,0.45652173913043476,46
1CKP-PVB,MSE,gradinput,raw,90,0.5,18
1CKP-PVB,MSE,gradinput,raw,95,0.5,2
1CKP-PVB,MSE,gradinput,l1,50,0.4392523364485981,214
1CKP-PVB,MSE,gradinput,l1,55,0.4413145539906103,213
1CKP-PVB,MSE,gradinput,l1,60,0.45226130653266333,199
1CKP-PVB,MSE,gradinput,l1,65,0.46994535519125685,183
1CKP-PVB,MSE,gradinput,l1,70,0.4962962962962963,135
1CKP-PVB,MSE,gradinput,l1,75,0.5,82
1CKP-PVB,MSE,gradinput,l1,80,0.47058823529411764,68
1CKP-PVB,MSE,gradinput,l1,85,0.45652173913043476,46
1CKP-PVB,MSE,gradinput,l1,90,0.4444444444444444,18
1CKP-PVB,MSE,gradinput,l1,95,0.5,2
1CKP-PVB,MSE,gradinput,signed_rank,50,0.514018691588785,214
